學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別
113,0008,國立中央大學,04111022,會計研究所企業資源規劃會計碩士在職專班,N 職,M 碩士,43,0,17,03 桃園市,1 一般
113,0008,國立中央大學,04121024,財務金融學系,D 日,D 博士,13,0,2,03 桃園市,1 一般
113,0008,國立中央大學,04121024,財務金融學系,D 日,M 碩士,55,0,25,03 桃園市,1 一般
113,0008,國立中央大學,04121024,財務金融學系,N 職,M 碩士,71,0,24,03 桃園市,1 一般
113,0008,國立中央大學,04121024,財務金融學系,D 日,B 學士,275,13,64,03 桃園市,1 一般
113,0008,國立中央大學,04131023,企業管理學系,D 日,D 博士,68,0,4,03 桃園市,1 一般
113,0008,國立中央大學,04131023,企業管理學系,D 日,M 碩士,127,0,57,03 桃園市,1 一般
113,0008,國立中央大學,04131023,企業管理學系,N 職,M 碩士,74,0,24,03 桃園市,1 一般
113,0008,國立中央大學,04131023,企業管理學系,D 日,B 學士,414,19,86,03 桃園市,1 一般
113,0008,國立中央大學,04131081,國際經營管理碩士學位學程,D 日,M 碩士,41,0,4,03 桃園市,1 一般
113,0008,國立中央大學,04131085,永續領導力博士學位學程,D 日,D 博士,3,0,0,03 桃園市,1 一般
113,0008,國立中央大學,04131085,永續領導力碩士學位學程,D 日,M 碩士,20,0,0,03 桃園市,1 一般
113,0008,國立中央大學,04199027,人力資源管理研究所,D 日,D 博士,2,0,1,03 桃園市,1 一般
113,0008,國立中央大學,04199027,人力資源管理研究所,D 日,M 碩士,53,6,19,03 桃園市,1 一般
113,0008,國立中央大學,04199027,人力資源管理研究所,N 職,M 碩士,54,0,28,03 桃園市,1 一般
113,0008,國立中央大學,04199029,高階主管碩士在職專班,N 職,M 碩士,160,0,86,03 桃園市,1 一般
113,0008,國立中央大學,04211030,法律與政府研究所,D 日,M 碩士,60,8,12,03 桃園市,1 一般
113,0008,國立中央大學,04211030,法律與政府研究所,N 職,M 碩士,75,0,15,03 桃園市,1 一般
113,0008,國立中央大學,05121031,生命科學系,D 日,D 博士,18,0,6,03 桃園市,1 一般
113,0008,國立中央大學,05121031,生命科學系,D 日,M 碩士,63,0,24,03 桃園市,1 一般
113,0008,國立中央大學,05121031,生命科學系,D 日,B 學士,162,13,27,03 桃園市,1 一般
113,0008,國立中央大學,05211048,遙測科技碩士學位學程,D 日,M 碩士,23,2,12,03 桃園市,1 一般
113,0008,國立中央大學,05211049,環境科技博士學位學程（台灣聯合大學系統）,D 日,D 博士,12,0,5,03 桃園市,1 一般
113,0008,國立中央大學,05311035,化學學系,D 日,D 博士,7,0,1,03 桃園市,1 一般
113,0008,國立中央大學,05311035,化學學系,D 日,M 碩士,157,0,67,03 桃園市,1 一般
113,0008,國立中央大學,05311035,化學學系,D 日,B 學士,152,16,30,03 桃園市,1 一般
113,0008,國立中央大學,05321036,地球科學學系地球物理博士班,D 日,D 博士,22,0,7,03 桃園市,1 一般
113,0008,國立中央大學,05321036,地球科學學系地球物理碩士班,D 日,M 碩士,50,0,15,03 桃園市,1 一般
113,0008,國立中央大學,05321036,地球科學學系,D 日,B 學士,184,17,44,03 桃園市,1 一般
113,0008,國立中央大學,05321037,應用地質研究所,D 日,D 博士,25,0,2,03 桃園市,1 一般
113,0008,國立中央大學,05321037,應用地質研究所,D 日,M 碩士,24,8,12,03 桃園市,1 一般
113,0008,國立中央大學,05321041,地球系統科學國際研究生博士學位學程,D 日,D 博士,32,0,2,03 桃園市,1 一般
113,0008,國立中央大學,05321078,地球科學學院學士班,D 日,B 學士,67,0,13,03 桃園市,1 一般
113,0008,國立中央大學,05322044,大氣科學學系大氣物理博士班,D 日,D 博士,20,0,4,03 桃園市,1 一般
113,0008,國立中央大學,05322044,大氣科學學系大氣物理碩士班,D 日,M 碩士,52,0,17,03 桃園市,1 一般
113,0008,國立中央大學,05322044,大氣科學學系,D 日,B 學士,127,14,32,03 桃園市,1 一般
113,0008,國立中央大學,05322079,太空科學與工程學系,D 日,D 博士,17,0,1,03 桃園市,1 一般
113,0008,國立中央大學,05322079,太空科學與工程學系,D 日,M 碩士,48,0,16,03 桃園市,1 一般
113,0008,國立中央大學,05322079,太空科學與工程學系,D 日,B 學士,130,12,26,03 桃園市,1 一般
113,0008,國立中央大學,05323039,水文與海洋科學研究所,D 日,D 博士,15,0,1,03 桃園市,1 一般
113,0008,國立中央大學,05323039,水文與海洋科學研究所,D 日,M 碩士,21,6,7,03 桃園市,1 一般
113,0008,國立中央大學,05331042,物理學系,D 日,D 博士,48,0,14,03 桃園市,1 一般
113,0008,國立中央大學,05331042,物理學系,D 日,M 碩士,88,0,34,03 桃園市,1 一般
113,0008,國立中央大學,05331042,物理學系,D 日,B 學士,187,31,44,03 桃園市,1 一般
113,0008,國立中央大學,05332045,天文研究所,D 日,D 博士,9,0,2,03 桃園市,1 一般
113,0008,國立中央大學,05332045,天文研究所,D 日,M 碩士,16,8,3,03 桃園市,1 一般
113,0008,國立中央大學,05399050,理學院學士班,D 日,B 學士,74,2,19,03 桃園市,1 一般
113,0008,國立中央大學,05411051,數學系,D 日,D 博士,5,0,4,03 桃園市,1 一般
113,0008,國立中央大學,05411051,數學系,D 日,M 碩士,61,0,17,03 桃園市,1 一般
113,0008,國立中央大學,05411051,數學系,D 日,B 學士,314,26,73,03 桃園市,1 一般
113,0008,國立中央大學,05421052,統計研究所,D 日,D 博士,8,0,0,03 桃園市,1 一般
113,0008,國立中央大學,05421052,統計研究所,D 日,M 碩士,56,8,25,03 桃園市,1 一般
113,0008,國立中央大學,06131053,資訊管理學系,D 日,D 博士,22,0,0,03 桃園市,1 一般
113,0008,國立中央大學,06131053,資訊管理學系,D 日,M 碩士,146,0,63,03 桃園市,1 一般
113,0008,國立中央大學,06131053,資訊管理學系,N 職,M 碩士,92,0,37,03 桃園市,1 一般
113,0008,國立中央大學,06131053,資訊管理學系,D 日,B 學士,421,21,90,03 桃園市,1 一般
113,0008,國立中央大學,06131059,資訊工程學系,D 日,D 博士,68,0,11,03 桃園市,1 一般
113,0008,國立中央大學,06131059,資訊工程學系,D 日,M 碩士,341,0,155,03 桃園市,1 一般
113,0008,國立中央大學,06131059,資訊工程學系,N 職,M 碩士,80,0,29,03 桃園市,1 一般
113,0008,國立中央大學,06131059,資訊工程學系,D 日,B 學士,429,30,101,03 桃園市,1 一般
113,0008,國立中央大學,06132002,網路學習科技研究所,D 日,D 博士,33,0,2,03 桃園市,1 一般
113,0008,國立中央大學,06132002,網路學習科技研究所,D 日,M 碩士,51,7,26,03 桃園市,1 一般
113,0008,國立中央大學,06132002,網路學習科技研究所,N 職,M 碩士,46,0,17,03 桃園市,1 一般
